site_tag,latitude,longitude,start_date,end_date,kmAboveBelow,kmLeftRight
SaltMarsh,38.35,-76.17,1/1/20,1/8/20,56,56
SaltMarsh,38.32,-76.07,1/1/20,1/8/20,56,56
SaltMarsh,38.3,-75.9,1/1/20,1/8/20,56,56
SaltMarsh,30.05,-84.1,1/1/20,1/8/20,56,56
SaltMarsh,30.1,-84.2,1/1/20,1/8/20,56,56
SaltMarsh,29.5,-93.2,1/1/20,1/8/20,56,56
SaltMarsh,29.7,-94.1,1/1/20,1/8/20,56,56
SaltMarsh,29.5,-90,1/1/20,1/8/20,56,56
SaltMarsh,29.6,-90.1,1/1/20,1/8/20,56,56
SaltMarsh,29.3,-90.6,1/1/20,1/8/20,56,56
SaltMarsh,29,-91,1/1/20,1/8/20,56,56
SaltMarsh,29.3,-91.1,1/1/20,1/8/20,56,56
SaltMarsh,29.5,-90.3,1/1/20,1/8/20,56,56
SaltMarsh,30.4,-88.9,1/1/20,1/8/20,56,56
SaltMarsh,29.5,-92.7,1/1/20,1/8/20,56,56
SaltMarsh,30,-89.9,1/1/20,1/8/20,56,56
SaltMarsh,29.1,-95.6,1/1/20,1/8/20,56,56
SaltMarsh,28.4,-96.8,1/1/20,1/8/20,56,56
SaltMarsh,29.7,-92.7,1/1/20,1/8/20,56,56
SaltMarsh,29.5,-91.9,1/1/20,1/8/20,56,56
SaltMarsh,29.6,-92.7,1/1/20,1/8/20,56,56
SaltMarsh,29.9,-93.5,1/1/20,1/8/20,56,56
SaltMarsh,48.9,-125.5,1/1/20,1/8/20,56,56
SaltMarsh,45.6,-64.8,1/1/20,1/8/20,56,56
SaltMarsh,44.7,-63.4,1/1/20,1/8/20,56,56
SaltMarsh,45.9,-65.5,1/1/20,1/8/20,56,56
SaltMarsh,45.8,-64.4,1/1/20,1/8/20,56,56
SaltMarsh,45.3,-65.5,1/1/20,1/8/20,56,56
SaltMarsh,45.2,-66.2,1/1/20,1/8/20,56,56
SaltMarsh,46.5,-63.7,1/1/20,1/8/20,56,56
SaltMarsh,45.1,-66.4,1/1/20,1/8/20,56,56
SaltMarsh,46.7,-64.9,1/1/20,1/8/20,56,56
SaltMarsh,46.8,-64.9,1/1/20,1/8/20,56,56
SaltMarsh,47.4,-65,1/1/20,1/8/20,56,56
SaltMarsh,46.4,-63.2,1/1/20,1/8/20,56,56
SaltMarsh,45.1,-67,1/1/20,1/8/20,56,56
SaltMarsh,45.1,-66.3,1/1/20,1/8/20,56,56
SaltMarsh,43.6,-65.3,1/1/20,1/8/20,56,56
SaltMarsh,43.8,-66.1,1/1/20,1/8/20,56,56
SaltMarsh,45.1,-66.5,1/1/20,1/8/20,56,56
SaltMarsh,43.7,-66.1,1/1/20,1/8/20,56,56
SaltMarsh,43.3,-70.5,1/1/20,1/8/20,56,56
SaltMarsh,41.2,-72.9,1/1/20,1/8/20,56,56
SaltMarsh,41.2,-72.7,1/1/20,1/8/20,56,56
SaltMarsh,41.2,-72.6,1/1/20,1/8/20,56,56
SaltMarsh,41.5,-70,1/1/20,1/8/20,56,56
SaltMarsh,41.2,-72,1/1/20,1/8/20,56,56
SaltMarsh,41.3,-71.9,1/1/20,1/8/20,56,56
SaltMarsh,43.75,-69.83,1/1/20,1/8/20,56,56
SaltMarsh,35,-76.4,1/1/20,1/8/20,56,56
SaltMarsh,30.06,84.15,1/1/20,1/8/20,56,56
SaltMarsh,26,80.5,1/1/20,1/8/20,56,56
SaltMarsh,31.4,-81.21,1/1/20,1/8/20,56,56
SaltMarsh,22.33,113.98,1/1/20,1/8/20,56,56
SaltMarsh,29.35,-91.7,1/1/20,1/8/20,56,56
SaltMarsh,37.6,-76.15,1/1/20,1/8/20,56,56
SaltMarsh,35.9,-75.6,1/1/20,1/8/20,56,56
SaltMarsh,35.3,-76.8,1/1/20,1/8/20,56,56
SaltMarsh,43.75,69.83,1/1/20,1/8/20,56,56
SaltMarsh,41.91,-70.02,1/1/20,1/8/20,56,56
Seagrass,38.14,-0.37,1/1/20,1/8/20,56,56
Seagrass,37.64,24.03,1/1/20,1/8/20,56,56
Seagrass,36.42,15.14,1/1/20,1/8/20,56,56
Seagrass,38.42,-0.37,1/1/20,1/8/20,56,56
Seagrass,36.69,15.14,1/1/20,1/8/20,56,56
Seagrass,12.3,109.23,1/1/20,1/8/20,56,56
Seagrass,44.68,-1.13,1/1/20,1/8/20,56,56
Seagrass,24.91,-80.94,1/1/20,1/8/20,56,56
Seagrass,36.47,-6.25,1/1/20,1/8/20,56,56
Seagrass,10.07,118.81,1/1/20,1/8/20,56,56
Seagrass,39.14,2.92,1/1/20,1/8/20,56,56
Seagrass,39.37,3.23,1/1/20,1/8/20,56,56
Seagrass,12.03,109.2,1/1/20,1/8/20,56,56
Seagrass,39.91,2.8,1/1/20,1/8/20,56,56
Seagrass,29.67,-84.96,1/1/20,1/8/20,56,56
