site_tag,latitude,longitude,start_date,end_date,kmAboveBelow,kmLeftRight
coastline,68.993778,180.0,4/1/20,4/8/20,56,56
coastline,65.08455,180.0,4/1/20,4/8/20,56,56
coastline,64.794556,179.525028,4/1/20,4/8/20,56,56
coastline,64.722444,175.142556,4/1/20,4/8/20,56,56
coastline,64.695649,176.166736,4/1/20,4/8/20,56,56
coastline,64.447083,176.071611,4/1/20,4/8/20,56,56
coastline,64.741278,177.508278,4/1/20,4/8/20,56,56
coastline,64.167056,178.248361,4/1/20,4/8/20,56,56
coastline,64.433333,178.234028,4/1/20,4/8/20,56,56
coastline,62.727444,179.622556,4/1/20,4/8/20,56,56
coastline,62.285389,179.148333,4/1/20,4/8/20,56,56
coastline,62.546222,177.114972,4/1/20,4/8/20,56,56
coastline,61.750389,173.531667,4/1/20,4/8/20,56,56
coastline,60.426667,170.549111,4/1/20,4/8/20,56,56
coastline,59.927083,170.309972,4/1/20,4/8/20,56,56
coastline,60.612889,169.253333,4/1/20,4/8/20,56,56
coastline,60.412917,167.011694,4/1/20,4/8/20,56,56
coastline,59.811194,166.278389,4/1/20,4/8/20,56,56
coastline,60.472056,166.275,4/1/20,4/8/20,56,56
coastline,59.782861,164.836639,4/1/20,4/8/20,56,56
coastline,60.10125,164.486639,4/1/20,4/8/20,56,56
coastline,59.998611,163.637333,4/1/20,4/8/20,56,56
coastline,57.977444,161.89075,4/1/20,4/8/20,56,56
coastline,57.7275,163.319222,4/1/20,4/8/20,56,56
coastline,57.336611,162.675861,4/1/20,4/8/20,56,56
coastline,56.187472,163.360806,4/1/20,4/8/20,56,56
coastline,56.094167,162.087472,4/1/20,4/8/20,56,56
coastline,54.748333,162.144083,4/1/20,4/8/20,56,56
coastline,54.154139,159.984139,4/1/20,4/8/20,56,56
coastline,53.089944,160.049139,4/1/20,4/8/20,56,56
coastline,52.998556,158.417278,4/1/20,4/8/20,56,56
coastline,52.289167,158.542417,4/1/20,4/8/20,56,56
coastline,50.862056,156.673361,4/1/20,4/8/20,56,56
coastline,55.175833,155.562528,4/1/20,4/8/20,56,56
coastline,56.678306,155.989139,4/1/20,4/8/20,56,56
coastline,57.7975,156.850833,4/1/20,4/8/20,56,56
coastline,57.977056,158.319944,4/1/20,4/8/20,56,56
coastline,60.417944,161.941556,4/1/20,4/8/20,56,56
coastline,60.8225,163.789083,4/1/20,4/8/20,56,56
coastline,62.270806,164.149083,4/1/20,4/8/20,56,56
coastline,62.469,165.308583,4/1/20,4/8/20,56,56
coastline,62.68125,164.609944,4/1/20,4/8/20,56,56
coastline,62.517917,163.261583,4/1/20,4/8/20,56,56
coastline,61.660778,163.329139,4/1/20,4/8/20,56,56
coastline,61.662028,162.388333,4/1/20,4/8/20,56,56
coastline,60.57875,160.213361,4/1/20,4/8/20,56,56
coastline,61.033306,160.440806,4/1/20,4/8/20,56,56
coastline,60.927056,159.791667,4/1/20,4/8/20,56,56
coastline,61.238306,159.7725,4/1/20,4/8/20,56,56
coastline,61.955417,160.396639,4/1/20,4/8/20,56,56
coastline,61.522056,156.681583,4/1/20,4/8/20,56,56
coastline,59.873306,154.230833,4/1/20,4/8/20,56,56
coastline,59.452444,154.129139,4/1/20,4/8/20,56,56
coastline,59.492917,154.979944,4/1/20,4/8/20,56,56
coastline,59.171222,155.188361,4/1/20,4/8/20,56,56
coastline,58.834611,151.341611,4/1/20,4/8/20,56,56
coastline,59.106222,151.103389,4/1/20,4/8/20,56,56
coastline,59.224944,152.320778,4/1/20,4/8/20,56,56
coastline,59.75875,149.433389,4/1/20,4/8/20,56,56
coastline,59.230389,148.931667,4/1/20,4/8/20,56,56
coastline,59.462889,146.505,4/1/20,4/8/20,56,56
coastline,59.138722,146.046667,4/1/20,4/8/20,56,56
coastline,59.42625,145.691639,4/1/20,4/8/20,56,56
coastline,59.202083,142.461667,4/1/20,4/8/20,56,56
coastline,56.420806,138.2275,4/1/20,4/8/20,56,56
coastline,54.909972,135.227417,4/1/20,4/8/20,56,56
coastline,54.565389,135.74325,4/1/20,4/8/20,56,56
coastline,54.646667,136.8325,4/1/20,4/8/20,56,56
coastline,53.764528,136.783333,4/1/20,4/8/20,56,56
coastline,54.320806,137.735833,4/1/20,4/8/20,56,56
coastline,53.534583,137.313306,4/1/20,4/8/20,56,56
coastline,53.995389,138.580028,4/1/20,4/8/20,56,56
coastline,54.289972,138.6525,4/1/20,4/8/20,56,56
coastline,54.300389,139.741583,4/1/20,4/8/20,56,56
coastline,53.295,141.424139,4/1/20,4/8/20,56,56
coastline,52.997889,141.203333,4/1/20,4/8/20,56,56
coastline,53.145833,140.630833,4/1/20,4/8/20,56,56
coastline,52.150833,141.545833,4/1/20,4/8/20,56,56
coastline,50.7175,140.437444,4/1/20,4/8/20,56,56
coastline,48.973333,140.391306,4/1/20,4/8/20,56,56
coastline,46.236194,138.105833,4/1/20,4/8/20,56,56
coastline,43.502083,135.135806,4/1/20,4/8/20,56,56
coastline,42.672917,133.043333,4/1/20,4/8/20,56,56
coastline,43.337833,131.76,4/1/20,4/8/20,56,56
coastline,42.552861,131.220861,4/1/20,4/8/20,56,56
coastline,42.675417,130.673361,4/1/20,4/8/20,56,56
coastline,42.297444,130.699611,4/1/20,4/8/20,56,56
coastline,41.764972,129.759583,4/1/20,4/8/20,56,56
coastline,40.833694,129.715778,4/1/20,4/8/20,56,56
coastline,39.736667,127.507056,4/1/20,4/8/20,56,56
coastline,39.213278,127.37875,4/1/20,4/8/20,56,56
coastline,38.687944,128.360889,4/1/20,4/8/20,56,56
coastline,37.059944,129.43125,4/1/20,4/8/20,56,56
coastline,36.015806,129.583778,4/1/20,4/8/20,56,56
coastline,35.050417,129.090833,4/1/20,4/8/20,56,56
coastline,35.211222,128.589167,4/1/20,4/8/20,56,56
coastline,34.76125,128.424139,4/1/20,4/8/20,56,56
coastline,34.998722,127.720806,4/1/20,4/8/20,56,56
coastline,34.587889,127.803306,4/1/20,4/8/20,56,56
coastline,34.88875,127.515806,4/1/20,4/8/20,56,56
coastline,34.444583,127.34,4/1/20,4/8/20,56,56
coastline,34.777056,127.242472,4/1/20,4/8/20,56,56
coastline,34.292889,126.524972,4/1/20,4/8/20,56,56
coastline,34.595833,126.279583,4/1/20,4/8/20,56,56
coastline,34.626639,126.622111,4/1/20,4/8/20,56,56
coastline,35.111694,126.239556,4/1/20,4/8/20,56,56
coastline,36.141639,126.893778,4/1/20,4/8/20,56,56
coastline,36.133694,126.493278,4/1/20,4/8/20,56,56
coastline,36.674167,126.511222,4/1/20,4/8/20,56,56
coastline,36.399556,126.419139,4/1/20,4/8/20,56,56
coastline,36.773306,126.109528,4/1/20,4/8/20,56,56
coastline,37.060333,126.496639,4/1/20,4/8/20,56,56
coastline,36.784944,126.857917,4/1/20,4/8/20,56,56
coastline,37.765778,126.520333,4/1/20,4/8/20,56,56
coastline,38.04125,125.627472,4/1/20,4/8/20,56,56
coastline,37.895417,125.515056,4/1/20,4/8/20,56,56
coastline,37.930833,124.97625,4/1/20,4/8/20,56,56
coastline,38.085417,125.26,4/1/20,4/8/20,56,56
coastline,38.128333,124.652028,4/1/20,4/8/20,56,56
coastline,38.592917,124.960833,4/1/20,4/8/20,56,56
coastline,38.649139,125.603722,4/1/20,4/8/20,56,56
coastline,38.876667,125.126222,4/1/20,4/8/20,56,56
coastline,39.665389,125.559194,4/1/20,4/8/20,56,56
coastline,39.935417,123.625806,4/1/20,4/8/20,56,56
coastline,38.724528,121.139194,4/1/20,4/8/20,56,56
coastline,39.403333,121.942889,4/1/20,4/8/20,56,56
coastline,39.385,121.248722,4/1/20,4/8/20,56,56
coastline,40.465,122.277917,4/1/20,4/8/20,56,56
coastline,41.048722,121.884111,4/1/20,4/8/20,56,56
coastline,40.830361,120.973306,4/1/20,4/8/20,56,56
coastline,39.197083,119.005,4/1/20,4/8/20,56,56
coastline,39.105833,117.717889,4/1/20,4/8/20,56,56
coastline,38.389139,117.691194,4/1/20,4/8/20,56,56
coastline,38.213722,118.839944,4/1/20,4/8/20,56,56
coastline,37.142056,119.185028,4/1/20,4/8/20,56,56
coastline,37.832889,120.741667,4/1/20,4/8/20,56,56
coastline,37.407472,122.699556,4/1/20,4/8/20,56,56
coastline,36.897028,122.516667,4/1/20,4/8/20,56,56
coastline,37.024583,121.969167,4/1/20,4/8/20,56,56
coastline,36.627917,120.7775,4/1/20,4/8/20,56,56
coastline,36.133778,120.714194,4/1/20,4/8/20,56,56
coastline,36.20375,120.126667,4/1/20,4/8/20,56,56
coastline,35.969972,120.297889,4/1/20,4/8/20,56,56
coastline,35.005,119.201194,4/1/20,4/8/20,56,56
coastline,34.690417,119.184139,4/1/20,4/8/20,56,56
coastline,34.303306,120.284611,4/1/20,4/8/20,56,56
coastline,32.616639,120.850417,4/1/20,4/8/20,56,56
coastline,31.736639,121.910444,4/1/20,4/8/20,56,56
coastline,31.967056,120.055889,4/1/20,4/8/20,56,56
coastline,31.852724,120.788002,4/1/20,4/8/20,56,56
coastline,30.938333,121.912056,4/1/20,4/8/20,56,56
coastline,30.195778,120.137944,4/1/20,4/8/20,56,56
coastline,30.327917,121.264056,4/1/20,4/8/20,56,56
coastline,29.8925,122.137889,4/1/20,4/8/20,56,56
coastline,29.474972,121.427111,4/1/20,4/8/20,56,56
coastline,29.590806,121.997861,4/1/20,4/8/20,56,56
coastline,29.222889,121.974194,4/1/20,4/8/20,56,56
coastline,29.163333,121.41875,4/1/20,4/8/20,56,56
coastline,28.941667,121.732056,4/1/20,4/8/20,56,56
coastline,28.705583,121.346028,4/1/20,4/8/20,56,56
coastline,28.265806,121.625444,4/1/20,4/8/20,56,56
coastline,28.103333,120.582889,4/1/20,4/8/20,56,56
coastline,27.885,120.858722,4/1/20,4/8/20,56,56
coastline,26.636222,120.120806,4/1/20,4/8/20,56,56
coastline,26.813306,119.542917,4/1/20,4/8/20,56,56
coastline,26.449972,119.83125,4/1/20,4/8/20,56,56
coastline,26.423722,119.58,4/1/20,4/8/20,56,56
coastline,26.375833,119.95875,4/1/20,4/8/20,56,56
coastline,26.075,119.512083,4/1/20,4/8/20,56,56
coastline,25.355833,119.654583,4/1/20,4/8/20,56,56
coastline,25.614556,119.329167,4/1/20,4/8/20,56,56
coastline,25.171222,119.281639,4/1/20,4/8/20,56,56
coastline,25.247472,118.869611,4/1/20,4/8/20,56,56
coastline,24.881222,118.985861,4/1/20,4/8/20,56,56
coastline,24.908278,118.562917,4/1/20,4/8/20,56,56
coastline,24.555417,118.650889,4/1/20,4/8/20,56,56
coastline,24.50625,117.779917,4/1/20,4/8/20,56,56
coastline,24.264972,118.134556,4/1/20,4/8/20,56,56
coastline,23.715389,117.585028,4/1/20,4/8/20,56,56
coastline,23.948722,117.352472,4/1/20,4/8/20,56,56
coastline,23.604556,117.244111,4/1/20,4/8/20,56,56
coastline,23.448722,116.457417,4/1/20,4/8/20,56,56
coastline,23.25,116.740361,4/1/20,4/8/20,56,56
coastline,22.939556,116.495806,4/1/20,4/8/20,56,56
coastline,22.65875,115.5725,4/1/20,4/8/20,56,56
coastline,22.902861,115.314139,4/1/20,4/8/20,56,56
coastline,22.544556,114.881694,4/1/20,4/8/20,56,56
coastline,22.837083,114.779972,4/1/20,4/8/20,56,56
coastline,22.5375,114.20875,4/1/20,4/8/20,56,56
coastline,22.260444,114.297528,4/1/20,4/8/20,56,56
coastline,23.11125,113.368333,4/1/20,4/8/20,56,56
coastline,22.188639,113.547389,4/1/20,4/8/20,56,56
coastline,22.368639,113.283306,4/1/20,4/8/20,56,56
coastline,22.072028,113.114083,4/1/20,4/8/20,56,56
coastline,22.514556,112.921694,4/1/20,4/8/20,56,56
coastline,21.852056,112.9125,4/1/20,4/8/20,56,56
coastline,21.996222,112.365,4/1/20,4/8/20,56,56
coastline,21.707889,112.343361,4/1/20,4/8/20,56,56
coastline,21.796222,111.675028,4/1/20,4/8/20,56,56
coastline,21.513722,111.638306,4/1/20,4/8/20,56,56
coastline,21.187861,110.446667,4/1/20,4/8/20,56,56
coastline,21.407889,110.381694,4/1/20,4/8/20,56,56
coastline,20.241222,110.284972,4/1/20,4/8/20,56,56
coastline,20.229167,109.92625,4/1/20,4/8/20,56,56
coastline,20.935861,109.665417,4/1/20,4/8/20,56,56
coastline,21.483333,109.965417,4/1/20,4/8/20,56,56
coastline,21.758694,109.609139,4/1/20,4/8/20,56,56
coastline,21.405417,109.160806,4/1/20,4/8/20,56,56
coastline,21.920333,108.554056,4/1/20,4/8/20,56,56
coastline,21.562861,108.477389,4/1/20,4/8/20,56,56
coastline,21.52375,107.780889,4/1/20,4/8/20,56,56
coastline,20.999556,107.349139,4/1/20,4/8/20,56,56
coastline,21.036611,106.605278,4/1/20,4/8/20,56,56
coastline,20.673306,106.812889,4/1/20,4/8/20,56,56
coastline,20.759556,106.5525,4/1/20,4/8/20,56,56
coastline,20.283306,106.572889,4/1/20,4/8/20,56,56
coastline,19.884167,105.927028,4/1/20,4/8/20,56,56
coastline,18.900694,105.641194,4/1/20,4/8/20,56,56
coastline,16.854083,107.131917,4/1/20,4/8/20,56,56
coastline,16.142889,108.326667,4/1/20,4/8/20,56,56
coastline,15.244972,108.942056,4/1/20,4/8/20,56,56
coastline,12.6475,109.467111,4/1/20,4/8/20,56,56
coastline,12.629972,109.196194,4/1/20,4/8/20,56,56
coastline,11.355417,109.019139,4/1/20,4/8/20,56,56
coastline,10.375389,107.259167,4/1/20,4/8/20,56,56
coastline,10.572833,106.745722,4/1/20,4/8/20,56,56
coastline,10.277,106.779111,4/1/20,4/8/20,56,56
coastline,10.31075,106.435333,4/1/20,4/8/20,56,56
