site_tag,latitude,longitude,start_date,end_date,kmAboveBelow,kmLeftRight
coastline,68.993778,180.0,4/1/20,4/8/20,56,56
coastline,64.99556,180.0,4/1/20,4/8/20,56,56
coastline,64.794556,179.525028,4/1/20,4/8/20,56,56
coastline,64.75375,179.128333,4/1/20,4/8/20,56,56
coastline,64.658333,178.850694,4/1/20,4/8/20,56,56
coastline,64.688722,177.703361,4/1/20,4/8/20,56,56
coastline,64.814972,177.404139,4/1/20,4/8/20,56,56
coastline,64.926222,177.521583,4/1/20,4/8/20,56,56
coastline,64.917111,177.273306,4/1/20,4/8/20,56,56
coastline,64.808306,177.342444,4/1/20,4/8/20,56,56
coastline,64.752889,177.073278,4/1/20,4/8/20,56,56
coastline,64.85375,176.684972,4/1/20,4/8/20,56,56
coastline,64.793722,176.449917,4/1/20,4/8/20,56,56
coastline,64.937861,176.058278,4/1/20,4/8/20,56,56
coastline,64.749611,175.728361,4/1/20,4/8/20,56,56
coastline,64.722444,175.142556,4/1/20,4/8/20,56,56
coastline,64.732944,175.699917,4/1/20,4/8/20,56,56
coastline,64.887889,176.003333,4/1/20,4/8/20,56,56
coastline,64.870215,176.213847,4/1/20,4/8/20,56,56
coastline,64.683306,176.439111,4/1/20,4/8/20,56,56
coastline,64.608333,176.182528,4/1/20,4/8/20,56,56
coastline,64.447083,176.071611,4/1/20,4/8/20,56,56
coastline,64.667917,176.481639,4/1/20,4/8/20,56,56
coastline,64.53375,176.758278,4/1/20,4/8/20,56,56
coastline,64.707917,177.086583,4/1/20,4/8/20,56,56
coastline,64.741278,177.508278,4/1/20,4/8/20,56,56
coastline,64.396667,177.497556,4/1/20,4/8/20,56,56
coastline,64.236194,177.836667,4/1/20,4/8/20,56,56
coastline,64.167056,178.248361,4/1/20,4/8/20,56,56
coastline,64.226667,178.1175,4/1/20,4/8/20,56,56
coastline,64.325861,178.330778,4/1/20,4/8/20,56,56
coastline,64.433333,178.234028,4/1/20,4/8/20,56,56
coastline,64.024972,178.649167,4/1/20,4/8/20,56,56
coastline,64.061222,178.528333,4/1/20,4/8/20,56,56
coastline,63.946611,178.209083,4/1/20,4/8/20,56,56
coastline,64.002861,178.445,4/1/20,4/8/20,56,56
coastline,63.927889,178.696722,4/1/20,4/8/20,56,56
coastline,64.012889,178.654944,4/1/20,4/8/20,56,56
coastline,63.815833,178.757417,4/1/20,4/8/20,56,56
coastline,63.605806,178.797444,4/1/20,4/8/20,56,56
coastline,63.672028,178.639917,4/1/20,4/8/20,56,56
coastline,63.58,178.767417,4/1/20,4/8/20,56,56
coastline,63.634556,178.591611,4/1/20,4/8/20,56,56
coastline,63.58,178.509111,4/1/20,4/8/20,56,56
coastline,63.5,178.797444,4/1/20,4/8/20,56,56
coastline,63.4825,178.635806,4/1/20,4/8/20,56,56
coastline,63.400389,178.780028,4/1/20,4/8/20,56,56
coastline,63.414139,178.894111,4/1/20,4/8/20,56,56
coastline,63.596222,178.801611,4/1/20,4/8/20,56,56
coastline,63.281639,179.055833,4/1/20,4/8/20,56,56
coastline,63.391222,178.911639,4/1/20,4/8/20,56,56
coastline,63.349111,178.835722,4/1/20,4/8/20,56,56
coastline,63.12,179.447528,4/1/20,4/8/20,56,56
coastline,62.957472,179.275778,4/1/20,4/8/20,56,56
coastline,62.727444,179.622556,4/1/20,4/8/20,56,56
coastline,62.498306,179.414083,4/1/20,4/8/20,56,56
coastline,62.455833,179.137417,4/1/20,4/8/20,56,56
coastline,62.285389,179.148333,4/1/20,4/8/20,56,56
coastline,62.531222,178.078222,4/1/20,4/8/20,56,56
coastline,62.546222,177.114972,4/1/20,4/8/20,56,56
coastline,62.052083,175.284972,4/1/20,4/8/20,56,56
coastline,62.120833,175.434139,4/1/20,4/8/20,56,56
coastline,62.122889,175.261639,4/1/20,4/8/20,56,56
coastline,62.010389,175.211611,4/1/20,4/8/20,56,56
coastline,61.894556,174.77,4/1/20,4/8/20,56,56
coastline,61.934139,174.849139,4/1/20,4/8/20,56,56
coastline,61.976222,174.629972,4/1/20,4/8/20,56,56
coastline,61.8925,174.7625,4/1/20,4/8/20,56,56
coastline,61.820417,174.584972,4/1/20,4/8/20,56,56
coastline,61.847861,174.380028,4/1/20,4/8/20,56,56
coastline,61.777111,174.138306,4/1/20,4/8/20,56,56
coastline,61.806639,174.232472,4/1/20,4/8/20,56,56
coastline,61.842889,174.05,4/1/20,4/8/20,56,56
coastline,61.775,174.135861,4/1/20,4/8/20,56,56
coastline,61.645389,173.836667,4/1/20,4/8/20,56,56
coastline,61.750389,173.531667,4/1/20,4/8/20,56,56
coastline,61.555,173.509194,4/1/20,4/8/20,56,56
coastline,61.544167,173.309167,4/1/20,4/8/20,56,56
coastline,61.432056,173.271722,4/1/20,4/8/20,56,56
coastline,61.382889,173.068306,4/1/20,4/8/20,56,56
coastline,61.462028,172.875,4/1/20,4/8/20,56,56
coastline,61.403306,172.732444,4/1/20,4/8/20,56,56
coastline,61.338333,172.945833,4/1/20,4/8/20,56,56
coastline,61.267056,172.936667,4/1/20,4/8/20,56,56
coastline,61.283722,172.786611,4/1/20,4/8/20,56,56
coastline,61.16625,172.651667,4/1/20,4/8/20,56,56
coastline,61.2075,172.340861,4/1/20,4/8/20,56,56
coastline,61.129972,172.444111,4/1/20,4/8/20,56,56
coastline,61.134167,172.245722,4/1/20,4/8/20,56,56
coastline,61.074139,172.472528,4/1/20,4/8/20,56,56
coastline,61.011222,172.419944,4/1/20,4/8/20,56,56
coastline,61.088306,172.030833,4/1/20,4/8/20,56,56
coastline,60.9725,172.21575,4/1/20,4/8/20,56,56
coastline,60.835417,172.070028,4/1/20,4/8/20,56,56
coastline,60.887056,172.004944,4/1/20,4/8/20,56,56
coastline,60.826222,171.93825,4/1/20,4/8/20,56,56
coastline,60.835,171.7075,4/1/20,4/8/20,56,56
coastline,60.612917,171.393361,4/1/20,4/8/20,56,56
coastline,60.489556,170.93325,4/1/20,4/8/20,56,56
coastline,60.516222,170.798333,4/1/20,4/8/20,56,56
coastline,60.400417,170.734972,4/1/20,4/8/20,56,56
coastline,60.426667,170.549111,4/1/20,4/8/20,56,56
coastline,60.375,170.665778,4/1/20,4/8/20,56,56
coastline,60.355806,170.494139,4/1/20,4/8/20,56,56
coastline,60.312472,170.695806,4/1/20,4/8/20,56,56
coastline,60.252472,170.519139,4/1/20,4/8/20,56,56
coastline,59.927083,170.309972,4/1/20,4/8/20,56,56
coastline,60.074139,169.955722,4/1/20,4/8/20,56,56
coastline,60.216639,169.872472,4/1/20,4/8/20,56,56
