Ecosystem,Latitude,Longitude
SaltMarsh,38.35,-76.17
SaltMarsh,38.32,-76.07
SaltMarsh,38.3,-75.9
SaltMarsh,30.05,-84.1
SaltMarsh,30.1,-84.2
SaltMarsh,29.5,-93.2
SaltMarsh,29.7,-94.1
SaltMarsh,29.5,-90
SaltMarsh,29.6,-90.1
SaltMarsh,29.3,-90.6
SaltMarsh,29,-91
SaltMarsh,29.3,-91.1
SaltMarsh,29.5,-90.3
SaltMarsh,30.4,-88.9
SaltMarsh,29.5,-92.7
SaltMarsh,30,-89.9
SaltMarsh,29.1,-95.6
SaltMarsh,28.4,-96.8
SaltMarsh,29.7,-92.7
SaltMarsh,29.5,-91.9
SaltMarsh,29.6,-92.7
SaltMarsh,29.9,-93.5
SaltMarsh,48.9,-125.5
SaltMarsh,45.6,-64.8
SaltMarsh,44.7,-63.4
SaltMarsh,45.9,-65.5
SaltMarsh,45.8,-64.4
SaltMarsh,45.3,-65.5
SaltMarsh,45.2,-66.2
SaltMarsh,46.5,-63.7
SaltMarsh,45.1,-66.4
SaltMarsh,46.7,-64.9
SaltMarsh,46.8,-64.9
SaltMarsh,47.4,-65
SaltMarsh,46.4,-63.2
SaltMarsh,45.1,-67
SaltMarsh,45.1,-66.3
SaltMarsh,43.6,-65.3
SaltMarsh,43.8,-66.1
SaltMarsh,45.1,-66.5
SaltMarsh,43.7,-66.1
SaltMarsh,43.3,-70.5
SaltMarsh,41.2,-72.9
SaltMarsh,41.2,-72.7
SaltMarsh,41.2,-72.6
SaltMarsh,41.5,-70
SaltMarsh,41.2,-72
SaltMarsh,41.3,-71.9
SaltMarsh,43.75,-69.83
SaltMarsh,35,-76.4
SaltMarsh,31.4,-81.21
SaltMarsh,22.33,113.98
SaltMarsh,29.35,-91.7
SaltMarsh,37.6,-76.15
SaltMarsh,35.9,-75.6
SaltMarsh,35.3,-76.8
SaltMarsh,41.91,-70.02
Seagrass,38.14,-0.37
Seagrass,37.64,24.03
Seagrass,36.42,15.14
